Trans. Date,Post Date,Description,Amount,Category
06/17/2023,06/17/2023,"SAFEWAY #0262 QUINCY CA",47.70,"Supermarkets"
06/17/2023,06/17/2023,"STORE QUINCY CA",24.50,"Restaurants"
06/20/2023,06/20/2023,"DOLLAR GENERAL #14490 QUINCY CA",4.25,"Merchandise"
06/20/2023,06/20/2023,"PIZZA FACTORY - CHESTER CHESTER CA",28.84,"Restaurants"
06/21/2023,06/21/2023,"CHESTER VALERO MART CHESTER CA",2.79,"Gasoline"
06/21/2023,06/21/2023,"HOLIDAY MARKET #54 CHESTER CA",34.58,"Supermarkets"
06/21/2023,06/21/2023,"PINE SHACK FROSTY CHESTER CA",9.68,"Restaurants"
06/21/2023,06/21/2023,"PINE SHACK FROSTY CHESTER CA",13.98,"Restaurants"
06/21/2023,06/21/2023,"SUBWAY 20464 CHESTER CA",18.99,"Restaurants"
06/23/2023,06/23/2023,"MCDONALD'S F12412 BURNEY CA",15.32,"Restaurants"
06/23/2023,06/23/2023,"RITE AID 06101 BURNEY CA",5.33,"Merchandise"
06/24/2023,06/24/2023,"BURNEY GROCERY OUTLET BURNEY CA",4.98,"Supermarkets"
06/24/2023,06/24/2023,"SAFEWAY #4178 BURNEY CACASHOVER $ 5.00 PURCHASES $ 54.18",59.18,"Supermarkets"
06/27/2023,06/27/2023,"INTERNET PAYMENT - THANK YOU",-600.00,"Payments and Credits"
06/27/2023,06/28/2023,"BERRYVALE GROCERY MOUNT SHASTA CA",10.48,"Supermarkets"
06/27/2023,06/28/2023,"CKE*YAKS SHACK MOUNT SHA MOUNT SHASTA CA",31.91,"Restaurants"
06/27/2023,06/28/2023,"MOUNT SHASTA VALERO MOUNT SHASTA CA",4.93,"Gasoline"
06/27/2023,06/28/2023,"RAYS FOOD PLACE #24 MT SHASTA CA",53.13,"Supermarkets"
06/27/2023,06/28/2023,"USPS PO 0552500067 MOUNT SHASTA CA",29.45,"Government Services"
06/28/2023,06/28/2023,"AUTOMATIC STATEMENT CREDIT",-21.64,"Awards and Rebate Credits"
06/30/2023,06/30/2023,"DOLLAR GENERAL #16154 ETNA CA",12.42,"Merchandise"
06/30/2023,06/30/2023,"DOLLAR GENERAL #16154 ETNA CA",33.25,"Merchandise"
06/30/2023,06/30/2023,"RAYS FOOD PLACE #25 ETNA CA",11.08,"Supermarkets"
07/01/2023,07/01/2023,"DOTTY S ETNA CA",15.82,"Restaurants"
07/01/2023,07/01/2023,"TST* ETNA BREWING COMP ETNA CA00042112012467469013AA",31.30,"Restaurants"
07/02/2023,07/02/2023,"DOTTY S ETNA CA",14.75,"Restaurants"
07/04/2023,07/04/2023,"INTERNET PAYMENT - THANK YOU",-374.46,"Payments and Credits"
07/04/2023,07/04/2023,"SEIAD CAFE SEIAD VALLEY CA",26.00,"Restaurants"
07/07/2023,07/07/2023,"AMAZON PRIME*7L9985JA3 AMZN.COM/BILLWA5NCSJ9V0MOI",8.09,"Merchandise"
07/07/2023,07/07/2023,"ASHLAND FOOD CO^OP ASHLAND OR",23.30,"Supermarkets"
07/07/2023,07/07/2023,"CREEKSIDE PIZZA ASHLAND OR",26.05,"Restaurants"
07/07/2023,07/07/2023,"SAFEWAY #3212 ASHLAND OR",5.03,"Supermarkets"
07/07/2023,07/07/2023,"SAFEWAY #3212 ASHLAND OR",90.85,"Supermarkets"
07/07/2023,07/07/2023,"SQ *SISKIYOU MOUNTAIN ASHLAND OR0001152921512953417653",5.95,"Supermarkets"
07/07/2023,07/07/2023,"USPS PO 4003840520 ASHLAND OR",17.10,"Government Services"
07/09/2023,07/09/2023,"SQ *FISH LAKE RESORT ASHLAND OR0001152921512961045147",17.51,"Restaurants"
07/11/2023,07/11/2023,"DIAMOND LAKE RESORT RETA DIAMOND LAKE OR",2.60,"Merchandise"
07/11/2023,07/11/2023,"DIAMOND LAKE RESORT RETA DIAMOND LAKE OR",13.45,"Merchandise"
07/12/2023,07/12/2023,"DIAMOND LAKE RESORT REST DIAMOND LAKE OR",28.14,"Restaurants"
07/12/2023,07/12/2023,"DIAMOND LAKE RESORT RETA DIAMOND LAKE OR",19.00,"Merchandise"
07/14/2023,07/14/2023,"FRONTIER RESERVATIONS DS DENVER CO",229.58,"Travel/ Entertainment"
07/15/2023,07/15/2023,"INTERNET PAYMENT - THANK YOU",-250.00,"Payments and Credits"
07/17/2023,07/17/2023,"BUNK^BREW 458-202-1090 OR",30.00,"Travel/ Entertainment"
07/17/2023,07/17/2023,"SQ *SHAKA SHAVE ICE 2 BEND OR0001152921512986223749",4.00,"Restaurants"
07/17/2023,07/17/2023,"TST* PAPI CHULOS - BEN BEND OR00095874012739286575AA",13.50,"Restaurants"
07/18/2023,07/18/2023,"BUNK^BREW 458-202-1090 OR",30.00,"Travel/ Entertainment"
07/18/2023,07/18/2023,"PTI* TUMALOCREEKNEW 4153615564 UT",24.00,"Travel/ Entertainment"
07/18/2023,07/18/2023,"PTI* TUMALOCREEKNEW 4153615564 UT",37.00,"Travel/ Entertainment"
07/18/2023,07/18/2023,"SAFEWAY #0514 BEND OR",19.47,"Supermarkets"
07/19/2023,07/19/2023,"CENTRAL OREGON BREEZE 5413897469 OR",60.00,"Travel/ Entertainment"
07/19/2023,07/19/2023,"J DUB BEND OR",22.00,"Restaurants"
07/19/2023,07/19/2023,"MARKET OF CHOICE #8 BEND OR",22.22,"Supermarkets"
07/20/2023,07/20/2023,"LIVING ROOM THEATERS PORTLAND OR",4.50,"Travel/ Entertainment"
07/20/2023,07/20/2023,"RAISING CANES 0714 PORTLAND OR02075R",16.85,"Restaurants"
07/20/2023,07/20/2023,"TRIMET TVM PORTLAND OR",2.50,"Travel/ Entertainment"
07/24/2023,07/24/2023,"NORTHWEST PORTLAND 503-8270405 OR",45.24,"Travel/ Entertainment"
07/24/2023,07/24/2023,"PIONEER PLACE STM 6 PORTLAND OR",15.00,"Travel/ Entertainment"
07/24/2023,07/24/2023,"RAISING CANES 0714 PORTLAND OR02423R",16.85,"Restaurants"
07/25/2023,07/25/2023,"DENVER AIRPORT DENVER CO",10.69,"Restaurants"
07/25/2023,07/25/2023,"NORTHWEST PORTLAND 503-8270405 OR",5.75,"Travel/ Entertainment"
07/27/2023,07/28/2023,"EXXONMOBIL COLUMBIA SC",45.73,"Gasoline"
07/28/2023,07/28/2023,"AUTOMATIC STATEMENT CREDIT",-12.69,"Awards and Rebate Credits"
08/02/2023,08/02/2023,"TARGET 00011999091 COLUMBIA SC",32.09,"Supermarkets"
08/07/2023,08/07/2023,"AMAZON PRIME*TA9UN2872 AMZN.COM/BILLWA5EBVM5354QV",8.09,"Merchandise"
08/07/2023,08/07/2023,"INTERNET PAYMENT - THANK YOU",-869.10,"Payments and Credits"
08/07/2023,08/07/2023,"PUBLIX SUPERMARKETS #137 CLEMSON SC",9.25,"Supermarkets"
08/08/2023,08/08/2023,"7009 GREAT CLIPS AT CLEM CLEMSON SC",15.00,"Services"
08/08/2023,08/08/2023,"CHINA EXPRESS CLEMSON SC",11.94,"Restaurants"
08/09/2023,08/09/2023,"MARATHON PETRO185637 CENTRAL SC",30.00,"Gasoline"
08/09/2023,08/09/2023,"PUBLIX SUPERMARKETS #137 CLEMSON SC",13.41,"Supermarkets"
08/12/2023,08/12/2023,"SAINTSTV 02035987963 GBR170.00 @ 00000001.2704059 GBP",215.97,"Merchandise"
08/12/2023,08/12/2023,"SUNOCO 0279740500 CLEMSON SC",39.40,"Gasoline"
08/13/2023,08/13/2023,"WAWA 5190 PALM SHORES FL",8.33,"Gasoline"
08/14/2023,08/14/2023,"THE SNEAKY TIKI STUART FL",11.65,"Restaurants"
08/14/2023,08/14/2023,"TST* TACO SHACK OF STUAR STUART FL",74.18,"Restaurants"
08/15/2023,08/15/2023,"TROPICAL SMOOTHIE CAFE F JUPITER FL",8.82,"Restaurants"
08/15/2023,08/16/2023,"SAINTSTV 02035987963 GBR-10.00 @ 00000001.2690516 GBP",-12.69,"Payments and Credits"
08/16/2023,08/16/2023,"BROTHERS Q BBQ STUART FL",65.23,"Restaurants"
08/17/2023,08/17/2023,"HUNGRY HOWIES - 02503 IRMO SC",17.25,"Restaurants"
08/18/2023,08/18/2023,"PLANET COMICS ANDERSON SC",11.00,"Merchandise"
08/19/2023,08/19/2023,"INGLES MARKETS #239 ANDERSON SC",45.98,"Supermarkets"
08/19/2023,08/19/2023,"LS GOTTA RUN CLEMSON, 8649860803 SC",21.81,"Merchandise"
08/20/2023,08/20/2023,"BACKSTREETS PUB & GRIL CLEMSON SC",4.89,"Restaurants"
08/20/2023,08/20/2023,"SHELL12666742007 GREENVILLE SC",26.01,"Gasoline"
08/21/2023,08/21/2023,"MARATHON PETRO188441 CLEMSON SC",20.43,"Gasoline"
08/21/2023,08/21/2023,"SPOTIFY P253364066 8777781161 NY",16.19,"Merchandise"
08/23/2023,08/23/2023,"CHINA EXPRESS CLEMSON SC",11.94,"Restaurants"
08/24/2023,08/24/2023,"PUBLIX SUPERMARKETS #137 CLEMSON SC",27.33,"Supermarkets"
08/25/2023,08/25/2023,"FOOD LION #2861 PENDLETON SC02580R",16.26,"Supermarkets"
08/25/2023,08/25/2023,"PAR*SMOOTHIE KING SK1213 CLEMSON SC",7.00,"Restaurants"
08/26/2023,08/26/2023,"WIX.COM, INC. NEW YORK NY",24.61,"Merchandise"
08/26/2023,08/26/2023,"WIX.COM, INC. NEW YORK NY",27.25,"Merchandise"
08/26/2023,08/28/2023,"CHICK-FIL-A #02536 CLEMSON SC",11.65,"Restaurants"
08/26/2023,08/28/2023,"SPEEDFACTORY INDOOR KART GREENVILLE SC",27.81,"Travel/ Entertainment"
08/27/2023,08/28/2023,"WALMART SC 03222 CENTRAL SC",58.57,"Merchandise"
08/28/2023,08/28/2023,"AUTOMATIC STATEMENT CREDIT",-15.33,"Awards and Rebate Credits"
08/28/2023,08/28/2023,"MARATHON PETRO188441 CLEMSON SC",37.62,"Gasoline"
08/28/2023,08/28/2023,"WALMART SC 03222 CENTRAL SC",5.29,"Merchandise"
08/29/2023,08/29/2023,"INTERNET PAYMENT - THANK YOU",-500.00,"Payments and Credits"
08/29/2023,08/29/2023,"MENS WEARHOUSE #3226 ANDERSON SC",230.03,"Merchandise"
08/30/2023,08/30/2023,"MARCOS PIZZA 8527 CLEMSON SC",15.25,"Restaurants"
08/31/2023,08/31/2023,"INGLES MARKETS #200 BOILING SPRINSC",15.96,"Supermarkets"
08/31/2023,08/31/2023,"MINUTEKEY BOULDER CO",4.28,"Home Improvement"
09/01/2023,09/01/2023,"EXXONMOBIL CHAPIN SC",44.02,"Gasoline"
09/01/2023,09/01/2023,"JOY OF TOK* JOY OF TOK 8887072469 SC",11.79,"Restaurants"
09/01/2023,09/01/2023,"LS GOTTA RUN CLEMSON, 8642472527 SC",16.53,"Merchandise"
09/01/2023,09/01/2023,"ZAXBY'S #70401 CHAPIN SC00115R",11.43,"Restaurants"
09/02/2023,09/02/2023,"FOOD LION #2849 COLUMBIA SC00264R",13.21,"Supermarkets"
09/04/2023,09/04/2023,"FOOD LION #2861 PENDLETON SC00400R",25.47,"Supermarkets"
09/04/2023,09/04/2023,"INGLES MARKETS #239 ANDERSON SC",12.40,"Supermarkets"
09/06/2023,09/06/2023,"INTERNET PAYMENT - THANK YOU",-841.66,"Payments and Credits"
09/06/2023,09/06/2023,"TST* SULLYS STEAMERS C CLEMSON SC00039176013557053864AA",7.36,"Restaurants"
09/07/2023,09/07/2023,"AMAZON PRIME*TR82Z1FU2 AMZN.COM/BILLWAU9QUSLL2S7X",16.19,"Merchandise"
09/07/2023,09/07/2023,"CHINA EXPRESS CLEMSON SC",11.94,"Restaurants"
09/07/2023,09/07/2023,"WALMART STORE 00396 ANDERSON SC",57.78,"Merchandise"
09/08/2023,09/08/2023,"COOK OUT WOODRUFF RD GREENVILLE SC",18.93,"Restaurants"
09/08/2023,09/08/2023,"MARATHON PETRO188441 CLEMSON SC",40.29,"Gasoline"
